survey_round,chosen_center,triplet_object_1,triplet_object_2,triplet_object_3,response_time
2,31,27,31,35,5.2260
2,46,48,43,46,12.308
2,31,34,29,31,6.3010
2,59,59,20,43,3.6950
2,25,41,30,25,3.1710
2,22,28,22,30,3.8880
2,16,56,46,16,4.2120
2,26,26,34,51,3.6370
2,10,23,41,10,2.0670
2,10,44,10,36,6.0680
2,22,22,1,49,10.678
2,13,13,20,30,3.0420
2,34,47,49,34,2.1070
2,1,37,31,1,21.578
2,39,39,12,45,2.5480
2,54,54,35,29,3.3140
3,60,23,60,3,5.5300
3,17,18,17,19,4.9660
3,42,42,56,9,5.8470
3,29,29,45,31,12.214
3,29,29,31,25,5.0520
3,11,52,31,11,3.8570
3,46,21,46,16,6.6410
3,3,3,47,4,12.572
3,46,46,34,11,3.0380
3,18,15,53,18,3.4780
3,58,43,58,9,3.9070
3,7,11,7,47,4.4980
3,38,5,55,38,5.4810
3,37,19,10,37,6.9050
3,22,35,22,13,3.5230
3,37,54,39,37,19.966
3,26,26,40,34,7.4910
3,43,43,45,34,3.3810
3,42,38,42,40,12.660
3,38,38,21,35,7.5000
3,60,34,39,60,4.1370
3,2,4,20,2,9.2390
3,37,22,11,37,7.6120
3,12,12,45,34,2.9590
3,33,33,27,12,3.5470
3,55,30,55,49,6.4720
3,4,48,4,24,3.2940
3,16,16,15,6,5.0800
3,36,45,36,26,3.4020
3,44,42,3,44,3.5430
3,44,26,48,44,3.8200
3,4,4,43,19,8.3930
3,1,1,23,59,5.9730
3,12,12,18,17,4.6700
3,13,13,21,30,2.1390
3,58,58,48,49,3.4790
3,37,50,17,37,7.3990
3,10,25,10,60,5.1480
3,11,33,7,11,9.7320
3,58,24,42,58,2.2390
3,38,37,38,29,3.7130
3,11,55,11,34,8.9530
3,37,21,54,37,3.1230
3,6,31,6,54,5.1600
3,8,41,8,4,3.7840
3,10,10,7,26,4.4000
3,53,53,23,52,12.498
3,54,6,54,27,11.190
3,55,41,55,54,2.9240
4,55,56,55,34,26.091
4,16,6,16,27,86.903
4,14,30,57,14,32.537
4,8,54,8,40,8.1260
4,18,18,15,53,6.9300
4,45,37,57,45,9.6810
4,51,41,3,51,11.851
4,7,37,5,7,8.1630
4,55,55,41,32,3.4970
4,29,29,59,33,37.424
4,6,48,6,44,15.099
4,3,3,38,53,11.825
4,8,1,35,8,8.1230
4,34,4,52,34,6.0990
4,44,60,15,44,6.3310
4,29,26,29,9,2.4710
4,28,28,50,10,7.2950
4,25,58,49,25,13.024
4,45,45,56,21,24.355
4,45,41,25,45,2.5470
4,41,34,30,41,2.7510
4,35,14,42,35,6.1800
4,16,28,16,24,22.964
4,3,16,2,3,1.9200
4,22,18,23,22,3.6010
4,29,29,34,51,9.7990
4,44,1,38,44,4.8100
4,17,17,20,39,18.000
4,24,46,24,23,4.0690
4,54,23,54,50,4.4080
4,33,23,33,30,2.5660
4,60,54,60,41,4.2390
4,24,24,31,39,6.0290
4,33,46,52,33,7.1140
4,4,18,56,4,13.283
4,2,6,2,39,15.446
4,40,59,40,53,6.3240
4,10,10,45,50,3.5520
4,60,14,60,54,82.637
4,36,26,20,36,1.8410
4,6,23,6,51,2.1800
4,10,57,10,37,4.5200
4,57,57,1,9,2.2660
4,28,28,23,12,8.8350
4,52,14,34,52,5.7580
4,2,47,17,2,10.070
4,8,57,23,8,3.2390
4,40,34,40,55,9.0290
5,10,10,40,34,29.618
5,5,33,28,5,7.8930
5,55,55,9,20,6.5260
5,43,43,39,26,6.7410
5,55,55,41,35,8.8780
5,6,33,41,6,9.6230
5,18,15,53,18,8.7350
5,35,35,1,25,12.527
5,22,60,59,22,5.0390
5,39,38,39,8,8.1440
5,32,36,32,31,20.632
5,30,30,15,29,7.9980
5,42,49,42,24,6.0630
5,34,49,45,34,15.897
5,7,59,7,26,26.833
5,50,9,50,49,7.2090
5,59,10,48,59,5.6290
5,12,14,12,59,4.1880
5,12,12,59,26,4.1910
5,40,57,6,40,20.751
5,7,46,7,8,6.0870
5,35,9,35,39,5.2480
5,29,24,29,30,10.278
5,39,52,39,30,13.032
5,33,33,21,56,6.7770
5,58,58,6,18,4.7450
5,16,16,38,25,8.3230
5,17,17,57,8,6.1030
5,31,53,31,26,6.1500
5,36,10,36,48,17.744
5,46,21,46,60,3.6700
5,45,41,3,45,5.1030
5,4,5,32,4,5.8220
5,49,49,10,48,11.646
5,58,30,60,58,5.1680
5,8,25,21,8,9.4230
5,39,2,52,39,3.7200
5,60,32,60,20,16.287
5,19,56,19,29,7.6710
5,44,5,44,38,5.5030
5,44,42,44,32,7.3420
5,54,31,54,48,5.5010
5,14,26,14,43,7.1730
5,22,53,2,22,3.3420
5,20,47,59,20,5.4640
5,28,52,5,28,5.4540
5,16,16,43,51,7.2070
5,42,47,57,42,5.4630
5,4,31,54,4,4.7660
6,33,58,33,24,7.1780
6,18,15,18,53,6.0780
6,44,39,44,55,9.2240
6,58,9,33,58,7.2490
6,58,58,56,34,6.6330
6,28,19,37,28,10.377
6,4,4,40,29,9.2110
6,52,14,52,48,5.9690
6,27,41,14,27,6.0640
6,25,45,25,50,11.656
6,60,40,60,21,4.2410
6,9,30,9,3,7.0660
6,31,18,31,4,10.385
6,28,7,28,48,7.7590
6,39,14,47,39,4.6610
6,44,44,27,51,5.6580
6,22,28,53,22,3.2410
6,16,16,39,26,20.893
6,55,56,55,53,7.0590
6,33,33,20,31,5.2340
6,7,7,52,41,13.395
6,2,4,50,2,5.7310
6,56,56,51,57,26.015
6,17,37,6,17,18.006
6,16,16,1,2,9.2530
6,17,38,17,28,8.3670
6,33,9,33,13,7.6700
6,29,29,59,23,3.7170
6,3,33,3,15,5.2160
6,46,56,34,46,7.5850
6,44,37,57,44,5.6730
6,22,22,60,34,5.4950
6,32,32,16,1,7.7130
6,29,36,29,53,3.5930
6,26,26,36,24,3.8290
6,39,40,17,39,5.5990
6,10,9,49,10,5.7760
6,26,53,26,6,5.1780
6,40,40,10,23,9.2290
6,7,17,8,7,13.153
6,42,47,42,57,6.2340
6,59,20,59,36,7.8750
6,44,7,45,44,12.565
6,6,27,9,6,3.7320
6,60,15,60,4,9.2910
6,50,50,29,49,4.3140
6,27,27,19,30,4.5170
6,51,51,59,8,7.1010
6,49,49,21,20,5.4500
6,39,59,31,39,3.9110
7,52,42,47,52,28.931
7,41,29,41,7,12.843
7,40,40,46,20,10.549
7,28,45,28,57,7.8310
7,12,20,29,12,13.269
7,18,18,15,53,6.0310
7,39,8,13,39,19.250
7,22,22,43,37,15.467
7,29,23,29,42,4.2130
7,28,58,28,48,5.8730
7,2,7,60,2,23.677
7,50,57,50,42,10.944
7,7,10,7,33,9.6980
7,6,19,6,55,4.8390
7,1,30,1,50,9.4580
7,16,19,25,16,7.6140
7,5,47,5,43,10.734
7,25,47,25,4,13.434
7,2,2,52,4,7.7550
7,11,46,48,11,4.3660
7,8,49,8,14,5.9880
7,40,47,40,53,2.9750
7,10,34,19,10,6.8930
7,11,11,6,47,5.9840
7,58,58,38,48,20.722
7,25,60,39,25,6.3230
7,2,46,15,2,5.6460
7,22,29,47,22,7.8670
7,1,35,31,1,5.4070
7,46,42,32,46,30.766
7,33,8,26,33,8.5410
7,16,16,37,52,9.9540
7,1,1,53,52,3.4500
7,60,47,60,14,13.542
7,12,41,12,20,12.914
7,38,38,25,32,37.826
7,58,24,58,19,4.4650
7,22,22,33,54,15.412
7,29,40,29,53,25.966
7,37,37,6,49,12.077
7,7,51,7,43,3.8750
7,54,54,56,60,4.4630
7,7,27,7,20,6.4940
7,44,28,44,17,10.102
7,42,42,36,56,18.750
7,24,31,22,24,15.077
7,28,33,28,54,14.961
7,4,4,47,18,7.9810
7,50,50,20,5,7.6640
8,35,35,5,60,10.097
8,31,40,30,31,5.4020
8,53,21,20,53,5.2610
8,25,54,25,5,9.0150
8,18,53,18,15,3.8250
8,46,46,58,1,4.8350
8,16,45,13,16,5.9530
8,32,20,32,34,4.8190
8,2,4,47,2,3.7450
8,12,12,30,22,3.4170
8,2,56,17,2,3.2260
8,38,20,24,38,3.6200
8,44,39,44,51,6.3340
8,46,47,60,46,3.0870
8,55,9,25,55,3.9310
8,11,11,29,51,4.6380
8,8,8,1,55,9.7270
8,58,41,58,21,3.0070
8,44,44,34,55,2.3380
8,57,57,13,54,10.147
8,50,24,50,30,2.2760
8,11,29,11,52,3.4430
8,32,53,12,32,4.0940
8,25,29,32,25,7.7680
8,7,43,7,54,4.7170
8,16,51,59,16,15.611
8,40,47,40,59,4.5950
8,37,51,37,22,5.0580
8,8,8,35,26,3.8310
8,1,42,1,13,6.1540
8,52,52,47,21,4.7450
8,45,5,45,54,2.2940
8,45,43,45,8,2.1920
8,32,32,28,49,26.253
8,37,38,37,42,2.5590
8,11,30,35,11,5.6720
8,29,7,29,24,6.2390
8,1,53,40,1,4.9160
8,60,34,60,6,3.7920
8,32,30,19,32,2.7580
8,13,44,13,49,14.002
8,51,31,50,51,8.9810
8,9,41,9,27,3.1380
8,7,24,49,7,17.783
8,37,52,37,11,17.424
8,41,56,5,41,2.4560
8,58,58,34,14,2.6580
8,50,43,50,35,3.9320
8,25,25,41,30,3.5630
8,1,31,1,33,6.6630
9,9,29,30,9,6.3470
9,36,36,59,12,7.8610
9,18,56,30,18,11.097
9,35,7,3,35,32.000
9,33,16,33,53,7.3260
9,3,3,45,16,35.758
9,43,42,43,30,6.3830
9,5,5,34,54,10.786
9,49,49,46,20,25.822
9,18,18,53,15,7.3750
9,25,1,25,50,7.8160
9,26,26,57,53,13.718
9,31,21,31,58,10.597
9,54,54,19,32,31.100
9,43,22,43,56,7.2630
9,7,46,7,37,11.527
9,37,37,2,39,32.590
9,50,50,48,20,79.434
9,22,20,22,58,10.272
9,42,42,28,1,60.216
9,35,20,58,35,18.003
9,50,19,50,15,39.371
9,17,17,1,53,8.5400
9,1,50,1,31,13.376
9,41,23,3,41,11.510
9,14,25,26,14,22.446
9,11,6,11,52,5.8890
9,38,38,6,24,9.7520
9,26,59,26,23,3.0250
9,27,27,30,45,6.2110
9,22,25,55,22,2.8800
9,52,55,42,52,15.915
9,13,6,13,51,57.560
9,44,46,2,44,9.3340
9,43,43,29,50,4.6650
9,43,43,33,39,5.0160
9,45,40,7,45,20.000
9,44,44,36,24,6.3660
9,17,52,34,17,11.209
9,35,35,24,20,10.271
9,60,39,60,6,6.7270
9,2,2,52,49,6.8990
9,39,46,24,39,17.669
9,22,25,22,21,58.082
9,51,38,15,51,5.5890
9,2,42,3,2,12.181
9,38,6,38,47,4.2740
9,12,12,9,37,6.5730
9,3,45,3,30,9.0240
10,22,22,35,57,44.797
10,18,15,53,18,16.588
10,11,11,29,39,56.732
10,12,40,1,12,4.9640
10,10,10,1,36,25.510
10,56,15,53,56,26.182
10,43,43,38,59,64.758
10,5,5,20,13,11.646
10,36,12,56,36,26.254
10,20,56,17,20,9.9100
10,4,4,26,39,4.9490
10,50,50,3,56,17.174
10,12,59,21,12,4.0060
10,11,5,11,50,4.4290
10,36,30,47,36,9.9580
10,32,14,19,32,35.765
10,12,21,41,12,3.9410
10,58,28,58,33,9.5820
10,51,52,51,13,18.662
10,40,40,10,59,13.271
10,1,30,31,1,31.173
10,44,44,31,20,37.260
10,46,46,44,33,23.126
10,2,2,14,8,28.774
10,12,43,58,12,9.9020
10,25,30,25,5,54.238
10,43,43,10,22,40.926
10,8,8,23,49,12.798
10,55,41,16,55,17.301
10,31,40,24,31,46.334
10,47,52,45,47,21.126
10,35,7,35,3,22.254
10,43,43,15,24,11.133
10,29,45,29,21,4.2930
10,34,41,23,34,71.422
10,11,6,18,11,20.524
10,10,10,51,12,6.7660
10,32,32,4,19,10.485
10,6,51,6,38,87.278
10,6,56,6,21,35.742
10,16,16,33,28,6.6540
10,43,2,57,43,19.862
10,10,12,10,54,22.075
10,44,41,44,59,32.334
10,27,56,27,14,8.4860
10,43,39,1,43,19.469
10,4,58,57,4,5.4540
10,17,18,11,17,6.7810
10,12,12,51,45,9.0630
11,33,14,40,33,3.5370
11,36,58,36,56,3.4280
11,12,12,34,15,6.0940
11,44,25,44,14,6.1550
11,36,36,42,28,5.1490
11,18,53,18,15,3.4360
11,33,40,33,52,3.8090
11,5,3,5,56,5.0250
11,3,3,16,23,2.7010
11,50,56,50,9,5.2480
11,5,24,5,37,2.9430
11,45,43,45,6,6.6380
11,44,45,44,37,3.5530
11,20,42,20,48,3.0190
11,32,32,10,58,7.7100
11,33,49,35,33,4.9540
11,33,33,41,14,4.3510
11,28,43,28,55,15.878
11,44,36,44,30,4.3660
11,13,25,13,30,4.4100
11,58,6,5,58,23.653
11,4,15,4,1,2.8800
11,47,49,47,29,9.5600
11,15,48,38,15,4.9360
11,30,21,30,56,6.0460
11,40,40,20,36,4.4330
11,8,29,8,43,3.8460
11,60,15,60,55,2.6760
11,39,15,39,1,2.9560
11,2,2,8,31,5.6260
11,58,13,30,58,4.9530
11,33,2,33,5,23.459
11,17,13,17,41,2.7860
11,7,6,56,7,2.6590
11,27,44,27,23,1.9260
11,38,38,28,42,7.3750
11,12,54,14,12,52.616
11,55,39,41,55,26.600
11,4,34,4,10,13.536
11,46,56,27,46,3.2110
11,16,49,16,19,2.9180
11,5,29,5,15,2.5280
11,46,29,46,37,3.4660
11,11,19,24,11,3.2350
11,38,34,19,38,2.5750
11,36,22,36,45,10.844
11,4,4,23,56,1.9720
11,4,12,42,4,3.8770
11,8,36,8,32,10.532
12,54,54,27,2,8.5240
12,17,17,26,41,13.476
12,43,15,43,45,6.2360
12,35,17,35,39,4.0360
12,28,59,28,21,12.143
12,12,12,57,48,3.9260
12,16,16,7,26,6.7340
12,25,36,25,1,5.4150
12,24,30,3,24,3.7970
12,18,18,15,53,4.5580
12,14,24,14,21,13.030
12,35,35,56,18,3.4740
12,4,44,59,4,4.4070
12,57,56,57,27,5.6060
12,59,59,45,48,14.247
12,43,21,60,43,3.0700
12,3,29,45,3,9.5560
12,12,51,18,12,4.2710
12,35,35,40,13,4.6140
12,43,43,21,42,1.9660
12,4,19,5,4,3.9290
12,8,8,32,40,6.3830
12,22,57,22,7,3.0080
12,10,10,60,48,2.6620
12,46,46,39,3,6.7100
12,17,55,27,17,3.6380
12,8,8,56,7,2.3100
12,12,1,12,3,4.8130
12,17,48,17,24,2.9590
12,12,6,12,8,1.9670
12,17,39,3,17,3.2780
12,59,47,30,59,3.2630
12,1,1,59,53,3.1580
12,8,8,37,59,2.2230
12,27,57,39,27,7.6860
12,17,9,17,19,4.7110
12,36,3,47,36,3.0210
12,16,16,9,1,4.9260
12,10,10,39,4,2.5900
12,25,1,25,35,21.259
12,14,45,15,14,3.4720
12,17,37,17,25,1.9510
12,8,54,21,8,3.4860
12,4,24,58,4,7.2140
12,5,5,39,20,5.8060
12,60,26,60,56,5.1580
12,33,33,40,23,3.5180
12,29,29,10,31,7.9660
12,55,6,47,55,13.126
12,7,16,7,24,8.0230
13,34,57,34,21,1.2920
13,51,19,43,51,1.1170
13,13,27,13,48,1.2450
13,15,15,18,53,1.3020
13,33,39,33,45,1.0380
13,38,8,37,38,1.1000
13,17,20,60,17,6.0290
13,31,31,59,3,1.2780
13,58,58,27,28,1.7740
13,54,54,38,21,1.2390
13,36,27,36,22,1.2540
13,35,22,45,35,6.8940
13,26,60,41,26,1.0060
13,55,54,55,11,1.0460
13,41,41,19,39,0.99900
13,32,9,32,3,1.1570
13,10,29,23,10,0.99800
13,50,47,8,50,0.94200
13,24,48,25,24,1.0460
13,39,53,3,39,1.0390
13,3,57,13,3,0.54300
13,55,22,26,55,0.55100
13,43,29,48,43,0.54300
13,19,25,36,19,0.73500
13,59,53,23,59,0.63900
13,12,23,33,12,1.0630
13,38,12,9,38,0.80700
13,51,17,42,51,0.99100
13,48,52,33,48,1.2870
13,58,35,43,58,0.95900
13,22,29,32,22,0.82300
13,26,26,58,60,1.1190
13,39,32,23,39,1.1500
13,39,25,35,39,2.5510
13,7,20,55,7,1.0140
13,36,18,49,36,0.86200
13,14,20,44,14,0.80600
13,47,15,32,47,0.80700
13,23,8,40,23,1.0540
13,28,1,10,28,0.91000
13,17,27,16,17,0.82200
13,35,35,13,51,4.4630
13,17,17,12,30,1.0150
14,24,29,24,42,9.9570
14,32,39,23,32,5.6980
14,18,18,29,53,17.651
14,44,9,29,44,8.3230
14,55,55,24,45,12.331
14,18,15,53,18,10.404
14,2,2,15,32,8.1790
14,51,31,35,51,15.603
14,43,43,41,18,6.1470
14,58,58,35,22,11.612
14,44,22,44,36,9.3160
14,17,21,17,37,28.843
14,58,24,58,29,21.612
14,36,57,36,19,17.858
14,28,28,47,31,7.7180
14,1,1,24,32,13.238
14,60,15,30,60,6.1260
14,15,15,47,5,26.332
14,8,44,8,28,26.891
14,10,57,36,10,22.446
14,10,1,47,10,5.5020
14,42,54,42,56,9.0610
14,35,17,35,27,6.6640
14,12,56,12,45,18.119
14,4,29,10,4,9.9310
14,58,36,58,6,6.2950
14,2,28,29,2,7.2580
14,31,51,21,31,10.353
14,60,40,27,60,5.8800
14,36,20,36,55,10.671
14,11,48,1,11,6.6590
14,36,36,24,31,6.5790
14,44,59,44,9,6.2450
14,39,26,39,55,9.4140
14,3,32,3,48,9.3630
14,42,42,22,59,15.638
14,52,24,15,52,17.769
14,1,15,30,1,14.150
14,14,36,14,27,9.3860
14,52,52,18,54,9.0830
14,28,6,28,1,10.558
14,31,31,23,2,5.1660
14,43,17,26,43,10.914
14,7,20,12,7,14.369
14,33,6,33,38,5.5710
14,50,39,50,49,15.650
14,11,26,11,50,5.3570
14,39,43,39,1,6.2110
14,48,30,48,34,10.581
15,39,39,58,48,37.740
15,5,12,5,51,30.490
15,33,46,33,31,28.165
15,37,56,37,18,28.218
15,16,51,16,25,47.688
15,60,60,26,15,27.678
15,40,33,28,40,23.190
15,18,18,15,53,14.524
15,36,44,36,30,20.670
15,16,16,2,24,20.613
15,5,5,43,33,47.689
15,48,48,53,7,19.606
15,60,37,49,60,9.7020
15,42,42,60,56,26.603
15,44,36,34,44,12.509
15,22,1,59,22,15.323
15,19,19,51,31,10.062
15,6,6,43,20,22.687
15,6,45,6,56,16.134
15,14,49,31,14,11.958
15,60,8,29,60,13.325
15,58,37,17,58,17.390
15,11,2,11,51,34.200
15,34,34,2,31,51.521
15,2,22,8,2,9.1880
15,5,12,5,8,13.276
15,6,9,6,16,16.957
15,4,36,19,4,21.165
15,39,43,39,35,14.493
15,33,3,7,33,5.3880
15,12,12,20,55,64.713
15,19,40,19,58,34.248
15,27,21,27,35,19.173
15,13,31,32,13,22.663
15,10,16,10,7,26.875
15,16,16,45,9,44.369
15,5,3,11,5,35.232
15,6,46,6,37,17.812
15,37,37,48,12,10.063
15,59,15,59,12,10.495
15,9,57,32,9,25.958
15,2,2,27,9,38.906
15,6,42,6,9,9.6130
15,32,32,46,57,22.886
15,22,17,9,22,13.205
15,55,26,55,2,15.966
15,16,16,20,35,24.014
15,33,53,10,33,9.0940
15,26,27,26,32,14.693
16,9,48,19,9,3.4920
16,44,37,50,44,6.6610
16,57,8,57,11,3.1900
16,24,36,47,24,2.1500
16,35,13,18,35,4.4700
16,8,5,32,8,2.5820
16,9,31,9,26,2.5260
16,57,35,57,10,3.5890
16,50,50,7,12,2.8700
16,53,18,53,15,1.5100
16,47,47,26,22,3.7500
16,47,47,60,36,2.0050
16,47,47,16,13,1.7820
16,29,5,29,38,3.2940
16,18,10,18,50,3.6150
16,35,35,2,56,2.3570
16,27,47,20,27,1.6300
16,26,26,10,44,2.8780
16,46,33,34,46,3.2700
16,32,7,32,12,6.9010
16,53,31,53,16,2.5330
16,5,2,5,54,2.2860
16,53,53,41,52,7.5500
16,25,25,16,52,8.7580
16,53,53,26,54,2.4310
16,29,33,29,35,5.2220
16,59,35,7,59,2.7430
16,35,12,35,25,2.1750
16,57,50,40,57,2.1420
16,29,46,29,32,4.3350
16,34,34,54,11,7.9570
16,35,29,35,57,1.3820
16,21,45,21,23,9.3090
16,60,58,46,60,6.8530
16,6,6,51,37,1.9500
16,51,45,60,51,2.0380
16,19,19,17,33,3.7780
16,47,29,25,47,2.6140
16,23,23,9,16,1.8300
16,48,25,48,12,1.1660
16,44,59,55,44,4.2610
16,15,46,33,15,2.0300
16,54,29,58,54,6.5090
16,3,3,17,15,1.8060
16,21,21,52,22,1.1330
16,38,13,5,38,5.2050
16,50,50,10,16,10.773
16,49,49,8,16,1.0860
16,46,46,51,28,5.6860
17,28,28,45,8,3.8250
17,17,1,17,59,2.7890
17,18,15,53,18,2.5320
17,41,13,41,38,3.6050
17,44,44,57,55,1.6100
17,11,56,11,42,2.8220
17,35,15,35,52,1.7690
17,31,30,20,31,2.4380
17,28,29,28,59,2.2390
17,16,32,43,16,2.7070
17,28,23,28,14,2.7290
17,9,28,9,54,1.8740
17,17,17,45,11,2.0060
17,29,29,42,14,2.2940
17,33,9,33,57,1.9630
17,54,54,53,56,1.3240
17,6,6,54,1,2.6480
17,14,21,20,14,2.4570
17,25,25,22,42,5.4420
17,10,10,43,57,2.7490
17,11,6,11,43,2.6760
17,33,51,33,10,1.7640
17,55,8,55,24,2.4870
17,14,1,19,14,2.4680
17,41,54,8,41,1.6680
17,2,2,36,19,1.9360
17,44,44,37,8,3.9030
17,27,27,36,42,2.0980
17,11,21,11,30,2.0030
17,9,2,36,9,2.1270
17,38,38,1,21,2.0180
17,46,46,21,22,2.0190
17,34,16,56,34,3.0440
17,10,10,49,17,3.1180
17,29,2,8,29,3.8090
17,37,10,52,37,1.7960
17,44,57,47,44,2.0570
17,7,7,13,6,1.9090
17,40,40,49,53,3.0160
17,2,19,2,15,1.6200
17,46,38,5,46,1.8540
17,46,46,32,28,1.8790
17,41,3,41,56,1.6420
17,7,11,7,50,1.4450
17,38,38,51,53,2.0090
17,11,11,43,35,1.8710
17,32,4,32,36,2.1380
17,41,43,41,21,0.91300
17,17,6,17,48,2.9240
17,43,3,52,43,1.6530
18,37,4,8,37,9.1700
18,11,14,23,11,1.4200
18,25,5,25,4,1.6830
18,4,4,43,59,1.9340
18,27,27,48,16,2.4120
18,2,52,21,2,1.8220
18,18,15,53,18,2.3340
18,18,15,18,40,1.2940
18,27,54,27,38,1.5250
18,44,44,9,41,1.8230
18,35,35,12,37,1.8530
18,12,12,20,53,1.5400
18,37,37,28,31,1.3670
18,29,41,29,7,1.2820
18,41,41,21,58,1.5040
18,28,49,55,28,2.1630
18,33,27,39,33,1.4150
18,46,22,14,46,1.5460
18,17,10,22,17,1.5440
18,29,51,29,2,1.5450
18,24,24,59,21,1.1030
18,60,60,56,59,2.3350
18,28,35,28,56,2.1140
18,43,8,43,11,1.7250
18,7,7,59,33,1.1410
18,26,26,5,47,2.1990
18,58,6,50,58,1.7040
18,46,26,13,46,1.0410
18,38,38,19,60,1.5420
18,54,28,12,54,1.5600
18,58,37,58,51,2.2370
18,14,29,14,1,1.4670
18,33,33,15,2,1.2060
18,45,15,45,37,1.0790
18,26,26,10,50,0.94900
18,55,55,38,53,2.0740
18,32,19,32,47,1.0150
18,31,31,53,26,1.8310
18,14,51,14,26,1.3720
18,44,44,12,50,1.1070
18,11,38,11,15,1.1680
18,16,18,16,54,1.1860
18,13,36,5,13,1.4790
18,44,1,44,31,1.4090
18,39,39,19,2,1.1320
18,27,8,27,47,1.2630
18,43,22,43,45,1.3020
18,60,29,60,44,1.1190
18,10,56,10,12,1.1610
18,17,17,22,35,1.9470
19,30,31,30,13,11.556
19,53,15,53,18,4.9050
19,2,26,56,2,6.1600
19,36,36,47,5,2.8310
19,53,53,15,43,2.6400
19,23,23,15,56,2.4280
19,41,41,52,24,1.5160
19,30,17,30,56,2.1210
19,3,47,3,12,2.5660
19,55,55,39,21,1.3020
19,30,40,30,7,1.5040
19,19,60,13,19,3.2850
19,41,34,11,41,1.5140
19,41,41,3,30,1.1560
19,26,27,26,49,1.4060
19,56,49,56,50,3.6020
19,46,46,48,33,1.9290
19,35,35,49,17,1.2500
19,26,22,26,49,1.0370
19,18,18,44,41,1.6210
19,13,47,2,13,2.4280
19,24,24,32,10,1.4920
19,32,6,48,32,1.6150
19,26,26,29,48,1.1100
19,28,56,5,28,3.1640
19,19,19,34,5,0.99900
19,6,17,6,41,0.42300
19,31,31,3,38,0.44300
19,48,52,48,53,0.32700
19,16,36,10,16,0.28500
19,45,48,45,15,0.62700
19,50,2,20,50,0.26600
19,47,36,47,21,0.27000
19,30,30,38,18,0.32100
19,42,42,54,39,0.97000
19,14,1,14,27,0.31500
19,20,44,47,20,0.29600
19,2,2,49,18,0.40600
19,11,22,11,49,0.34100
19,9,52,57,9,0.32600
19,47,47,57,16,0.41000
19,42,56,42,41,0.32600
19,13,51,9,13,0.32600
19,24,24,44,56,0.80300
19,19,45,19,3,0.34400
19,53,53,17,43,0.28500
19,22,31,22,15,0.26800
19,34,34,3,52,0.38500
19,27,38,27,11,0.29700
19,48,27,13,48,0.35500
20,20,20,32,5,5.5340
20,57,57,14,3,0.11400
20,28,28,11,25,1.0910
20,26,54,26,6,0.36600
20,20,46,10,20,0.44100
20,37,37,59,44,0.59000
20,15,53,15,18,0.51600
20,24,17,53,24,0.42100
20,29,29,14,28,0.58100
20,44,50,44,19,0.47900
20,39,22,48,39,0.49300
20,3,2,3,17,0.41600
20,43,55,41,43,0.40400
20,6,27,6,28,0.35800
20,21,21,43,38,0.49100
20,26,20,26,31,0.31200
